time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
3803.908,28.578,29.032,30.964,0.4541,0.137,255
3804.209,28.487,29.032,31.011,0.5447,0.2276,255
3804.51,28.578,29.146,31.011,0.568,0.2509,255
3804.811,28.623,29.032,31.15,0.4088,0.0917,255
3805.112,28.442,29.032,31.011,0.5899,0.2729,255
3805.413,28.487,29.078,31.034,0.5902,0.2731,255
3805.714,28.601,29.169,30.941,0.5681,0.2511,255
3806.014,28.601,29.169,31.174,0.5681,0.2511,255
3806.316,28.487,29.032,30.964,0.5447,0.2276,255
3806.617,28.623,29.078,31.034,0.4543,0.1373,255
3806.918,28.623,29.055,31.197,0.4315,0.1145,255
3807.219,28.487,29.032,30.964,0.5447,0.2276,255
3807.52,28.419,29.032,30.941,0.6125,0.2955,255
3807.821,28.51,29.078,31.057,0.5676,0.2505,255
3808.122,28.623,28.986,30.941,0.3633,0.0462,255
3808.423,28.465,29.032,30.964,0.5673,0.2502,255
3808.724,28.487,29.146,31.057,0.6585,0.3415,255
3809.025,28.487,29.078,31.057,0.5902,0.2731,255
3809.326,28.419,29.032,30.964,0.6125,0.2955,255
3809.627,28.487,29.123,30.964,0.6357,0.3187,255
3809.928,28.623,29.009,30.964,0.386,0.069,255
3810.229,28.578,29.078,30.964,0.4996,0.1826,255
3810.53,28.487,29.123,30.964,0.6357,0.3187,255
3810.831,28.578,29.123,31.15,0.5452,0.2281,255
3811.132,28.623,29.078,31.011,0.4543,0.1373,255
3811.433,28.397,29.009,30.871,0.6124,0.2953,255
3811.734,28.533,29.123,31.197,0.5905,0.2734,255
3812.035,28.646,29.078,31.197,0.4316,0.1146,255
3812.336,28.442,29.032,30.964,0.5899,0.2729,255
3812.637,28.465,29.032,30.964,0.5673,0.2502,255
3812.938,28.578,29.055,31.057,0.4769,0.1598,255
3813.239,28.555,28.964,30.964,0.4085,0.0914,255
3813.54,28.397,29.032,31.011,0.6352,0.3181,255
3813.841,28.465,29.123,30.964,0.6584,0.3413,255
3814.142,28.601,29.169,31.011,0.5681,0.2511,255
3814.443,28.465,29.032,31.011,0.5673,0.2502,255
3814.744,28.465,29.078,31.011,0.6128,0.2958,255
3815.045,28.487,29.078,31.057,0.5902,0.2731,255
3815.346,28.487,29.078,31.057,0.5902,0.2731,255
3815.647,28.465,29.078,31.127,0.6128,0.2958,255
3815.948,28.487,29.123,30.964,0.6357,0.3187,255
3816.249,28.623,29.032,31.057,0.4088,0.0917,255
3816.55,28.487,28.986,31.011,0.4992,0.1821,255
3816.851,28.442,29.1,30.964,0.6582,0.3412,255
3817.152,28.487,29.123,31.011,0.6357,0.3187,255
3817.453,28.578,29.078,31.127,0.4996,0.1826,255
3817.754,28.419,29.032,30.964,0.6125,0.2955,255
3818.055,28.487,29.078,31.057,0.5902,0.2731,255
3818.356,28.578,29.1,31.15,0.5224,0.2053,255
3818.657,28.442,28.986,31.011,0.5444,0.2274,255
3818.958,28.465,29.078,31.057,0.6128,0.2958,255
3819.259,28.623,29.123,31.174,0.4998,0.1828,255
3819.56,28.578,29.078,30.987,0.4996,0.1826,255
3819.86,28.397,29.032,30.964,0.6352,0.3181,255
3820.162,28.578,29.123,31.244,0.5452,0.2281,255
3820.463,28.691,29.123,31.174,0.4318,0.1148,255
3820.765,28.465,28.986,30.918,0.5218,0.2047,255
3821.066,28.465,29.055,30.964,0.5901,0.273,255
3821.367,28.578,29.078,31.127,0.4996,0.1826,255
3821.668,28.578,29.032,31.057,0.4541,0.137,255
3821.969,28.487,29.078,31.034,0.5902,0.2731,255
3822.27,28.623,29.032,31.15,0.4088,0.0917,255
3822.571,28.578,29.032,31.057,0.4541,0.137,255
3822.872,28.51,28.986,31.057,0.4765,0.1595,255
3823.173,28.487,29.055,30.964,0.5674,0.2504,255
3823.474,28.623,29.078,31.057,0.4543,0.1373,255
3823.775,28.465,29.078,30.964,0.6128,0.2958,255
3824.076,28.442,29.078,31.034,0.6355,0.3184,255
3824.377,28.533,29.123,31.174,0.5905,0.2734,255
3824.678,28.578,29.078,31.011,0.4996,0.1826,255
3824.979,28.442,29.078,30.964,0.6355,0.3184,255
3825.28,28.442,29.1,31.011,0.6582,0.3412,255
3825.581,28.578,29.078,31.197,0.4996,0.1826,255
3825.883,28.578,29.078,31.011,0.4996,0.1826,255
3826.184,28.442,29.032,31.011,0.5899,0.2729,255
3826.485,28.51,29.078,31.034,0.5676,0.2505,255
3826.786,28.669,29.078,31.15,0.409,0.0919,255
3827.087,28.578,29.009,31.034,0.4313,0.1143,255
3827.388,28.51,29.123,31.057,0.6131,0.296,255
3827.689,28.623,29.009,30.964,0.386,0.069,255
3827.99,28.442,28.986,30.918,0.5444,0.2274,255
3828.291,28.397,29.009,30.918,0.6124,0.2953,255
3828.592,28.578,29.123,31.15,0.5452,0.2281,255
3828.893,28.669,29.032,31.057,0.3635,0.0464,255
3829.194,28.442,29.1,30.964,0.6582,0.3412,255
3829.495,28.487,29.055,31.011,0.5674,0.2504,255
3829.796,28.646,29.055,31.15,0.4089,0.0918,255
3830.096,28.487,29.055,31.057,0.5674,0.2504,255
3830.398,28.397,29.078,31.011,0.6807,0.3636,255
3830.699,28.487,29.123,31.127,0.6357,0.3187,255
3831.001,28.487,28.986,31.011,0.4992,0.1821,255
3831.302,28.442,29.032,30.941,0.5899,0.2729,255
3831.603,28.487,29.123,31.057,0.6357,0.3187,255
3831.904,28.623,29.032,31.011,0.4088,0.0917,255
3832.205,28.419,28.986,30.964,0.567,0.25,255
3832.506,28.419,29.1,30.964,0.6808,0.3638,255
3832.807,28.578,29.1,31.22,0.5224,0.2053,255
3833.108,28.487,29.078,31.057,0.5902,0.2731,255
