time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
386.783,29.123,29.465,31.618,0.3423,0.2851,255
387.084,29.397,29.42,31.618,0.0228,-0.0344,255
387.385,29.397,29.488,31.712,0.0914,0.0343,255
387.686,29.442,29.442,31.594,0.0,-0.0572,255
387.987,29.397,29.442,31.618,0.0457,-0.0115,255
388.288,29.305,29.488,31.782,0.1828,0.1256,255
388.589,29.169,29.397,31.618,0.2282,0.171,255
388.89,29.305,29.488,31.712,0.1828,0.1256,255
389.191,29.351,29.488,31.759,0.1371,0.0799,255
389.492,29.351,29.442,31.665,0.0914,0.0342,255
389.793,29.374,29.488,31.712,0.1143,0.0571,255
390.094,29.351,29.465,31.665,0.1142,0.057,255
390.395,29.397,29.397,31.618,0.0,-0.0572,255
390.696,29.283,29.397,31.759,0.1142,0.057,255
390.997,29.305,29.488,31.712,0.1828,0.1256,255
391.298,29.397,29.534,31.759,0.1372,0.08,255
391.6,29.305,29.488,31.806,0.1828,0.1256,255
391.901,29.397,29.442,31.665,0.0457,-0.0115,255
392.202,29.397,29.442,31.712,0.0457,-0.0115,255
392.503,29.351,29.442,31.618,0.0914,0.0342,255
392.804,29.397,29.488,31.759,0.0914,0.0343,255
393.105,29.305,29.442,31.712,0.137,0.0798,255
393.406,29.305,29.488,31.806,0.1828,0.1256,255
393.707,29.442,29.534,31.806,0.0915,0.0343,255
394.008,29.42,29.603,31.712,0.183,0.1258,255
394.309,29.351,29.465,31.782,0.1142,0.057,255
394.61,29.351,29.488,31.712,0.1371,0.0799,255
394.911,29.305,29.534,31.688,0.2285,0.1713,255
395.212,29.328,29.397,31.735,0.0685,0.0113,255
395.513,29.351,29.488,31.759,0.1371,0.0799,255
395.814,29.305,29.534,31.806,0.2285,0.1713,255
396.115,29.442,29.534,31.806,0.0915,0.0343,255
396.416,29.351,29.465,31.735,0.1142,0.057,255
396.717,29.465,29.488,31.641,0.0229,-0.0343,255
397.018,29.58,29.58,31.806,0.0,-0.0572,255
397.319,29.169,29.511,31.665,0.3425,0.2853,255
397.62,29.374,29.442,31.712,0.0685,0.0114,255
397.921,29.191,29.465,31.571,0.274,0.2168,255
398.222,29.397,29.671,31.806,0.2746,0.2174,255
398.523,29.442,29.488,31.759,0.0457,-0.0114,255
398.824,29.465,29.557,31.759,0.0915,0.0343,255
399.125,29.42,29.397,31.665,-0.0228,-0.08,255
399.426,29.328,29.488,31.806,0.1599,0.1028,255
399.727,29.374,29.442,31.712,0.0685,0.0114,255
400.028,29.305,29.534,31.806,0.2285,0.1713,255
400.329,29.465,29.534,31.806,0.0686,0.0115,255
400.63,29.397,29.511,31.806,0.1143,0.0571,255
400.931,29.465,29.442,31.665,-0.0229,-0.08,255
401.232,29.42,29.534,31.806,0.1143,0.0572,255
401.533,29.374,29.488,31.665,0.1143,0.0571,255
401.834,29.397,29.488,31.712,0.0914,0.0343,255
402.135,29.351,29.488,31.806,0.1371,0.0799,255
402.436,29.305,29.534,31.759,0.2285,0.1713,255
402.737,29.351,29.58,31.665,0.2286,0.1715,255
403.038,29.442,29.534,31.759,0.0915,0.0343,255
403.339,29.397,29.488,31.759,0.0914,0.0343,255
403.64,29.42,29.42,31.641,0.0,-0.0572,255
403.941,29.351,29.488,31.665,0.1371,0.0799,255
404.242,29.351,29.397,31.688,0.0457,-0.0115,255
404.544,29.397,29.671,31.923,0.2746,0.2174,255
404.845,29.397,29.58,31.782,0.183,0.1258,255
405.146,29.488,29.442,31.759,-0.0457,-0.1029,255
405.447,29.488,29.442,31.665,-0.0457,-0.1029,255
405.748,29.442,29.442,31.688,0.0,-0.0572,255
406.049,29.397,29.534,31.735,0.1372,0.08,255
406.35,29.351,29.465,31.759,0.1142,0.057,255
406.651,29.351,29.488,31.688,0.1371,0.0799,255
406.952,29.42,29.58,31.688,0.1601,0.1029,255
407.253,29.351,29.465,31.759,0.1142,0.057,255
407.554,29.488,29.488,31.735,0.0,-0.0572,255
407.855,29.442,29.488,31.759,0.0457,-0.0114,255
408.157,29.305,29.442,31.665,0.137,0.0798,255
408.458,29.351,29.465,31.735,0.1142,0.057,255
408.759,29.397,29.58,31.759,0.183,0.1258,255
409.061,29.305,29.534,31.9,0.2285,0.1713,255
409.362,29.442,29.534,31.806,0.0915,0.0343,255
409.664,29.488,29.488,31.712,0.0,-0.0572,255
409.965,29.488,29.534,31.712,0.0457,-0.0114,255
410.267,29.465,29.58,31.806,0.1144,0.0572,255
410.568,29.374,29.488,31.712,0.1143,0.0571,255
410.869,29.169,29.488,31.712,0.3196,0.2624,255
411.17,29.442,29.58,31.688,0.1373,0.0801,255
411.471,29.397,29.534,31.9,0.1372,0.08,255
411.772,29.442,29.488,31.688,0.0457,-0.0114,255
412.073,29.488,29.442,31.665,-0.0457,-0.1029,255
412.374,29.374,29.488,31.712,0.1143,0.0571,255
412.675,29.442,29.442,31.712,0.0,-0.0572,255
412.976,29.397,29.557,31.806,0.1601,0.1029,255
413.277,29.397,29.671,31.9,0.2746,0.2174,255
