time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
871.208,29.488,29.901,31.947,0.4126,0.3554,255
871.509,29.351,29.671,31.853,0.3203,0.2631,255
871.81,29.58,30.039,32.088,0.459,0.4018,255
872.111,29.557,29.832,31.994,0.275,0.2178,255
872.413,29.557,30.016,32.135,0.4589,0.4017,255
872.714,29.58,29.947,31.97,0.367,0.3098,255
873.015,29.442,29.901,31.994,0.4583,0.4011,255
873.316,29.488,29.947,32.088,0.4585,0.4013,255
873.617,29.671,29.901,32.088,0.2294,0.1723,255
873.919,29.58,29.947,31.994,0.367,0.3098,255
874.22,29.671,30.039,32.277,0.3674,0.3102,255
874.522,29.534,29.855,32.041,0.3209,0.2637,255
874.823,29.534,29.855,32.041,0.3209,0.2637,255
875.124,29.511,29.947,32.041,0.4357,0.3785,255
875.425,29.717,29.947,32.301,0.2296,0.1724,255
875.726,29.694,29.901,32.041,0.2065,0.1493,255
876.027,29.671,30.039,32.112,0.3674,0.3102,255
876.328,29.648,30.016,32.277,0.3673,0.3101,255
876.629,29.648,29.901,31.994,0.2523,0.1952,255
876.93,29.442,29.947,32.065,0.5043,0.4471,255
877.231,29.671,29.855,32.301,0.1835,0.1263,255
877.533,29.648,29.809,32.041,0.1605,0.1033,255
877.834,29.557,30.039,32.325,0.4819,0.4247,255
878.135,29.671,29.901,32.277,0.2294,0.1723,255
878.436,29.488,30.039,32.135,0.5505,0.4933,255
878.737,29.534,29.901,32.088,0.3668,0.3096,255
879.038,29.671,29.901,32.135,0.2294,0.1723,255
879.339,29.717,29.901,31.994,0.1836,0.1264,255
879.641,29.671,30.016,32.325,0.3444,0.2872,255
879.942,29.671,30.085,32.277,0.4134,0.3562,255
880.243,29.58,29.901,32.065,0.321,0.2639,255
880.544,29.511,30.039,32.277,0.5276,0.4705,255
880.845,29.786,30.016,32.088,0.2297,0.1726,255
881.146,29.717,29.947,32.065,0.2296,0.1724,255
881.447,29.671,30.131,32.088,0.4594,0.4023,255
881.748,29.74,29.947,32.135,0.2066,0.1495,255
882.049,29.58,30.016,32.372,0.436,0.3788,255
882.35,29.511,30.085,32.325,0.5737,0.5165,255
882.651,29.717,29.901,32.277,0.1836,0.1264,255
882.953,29.717,29.901,32.135,0.1836,0.1264,255
883.254,29.671,30.039,32.325,0.3674,0.3102,255
883.555,29.671,30.039,32.372,0.3674,0.3102,255
883.856,29.648,30.039,32.065,0.3903,0.3331,255
884.157,29.511,30.039,32.277,0.5276,0.4705,255
884.458,29.786,29.809,31.994,0.0229,-0.0342,255
884.759,29.717,29.947,32.325,0.2296,0.1724,255
885.06,29.511,29.947,32.135,0.4357,0.3785,255
885.361,29.671,30.085,32.348,0.4134,0.3562,255
885.662,29.58,30.039,32.088,0.459,0.4018,255
885.963,29.58,29.855,32.372,0.2751,0.2179,255
886.264,29.763,30.131,32.325,0.3677,0.3106,255
886.565,29.74,30.085,32.277,0.3446,0.2875,255
886.866,29.671,30.108,32.277,0.4364,0.3792,255
887.167,29.671,30.039,32.419,0.3674,0.3102,255
887.468,29.717,29.924,32.277,0.2065,0.1494,255
887.769,29.671,29.924,32.325,0.2524,0.1952,255
888.07,29.694,30.016,32.135,0.3214,0.2643,255
888.372,29.717,29.947,32.254,0.2296,0.1724,255
888.673,29.671,30.039,32.277,0.3674,0.3102,255
888.974,29.717,30.085,32.372,0.3676,0.3104,255
889.275,29.648,29.901,32.112,0.2523,0.1952,255
889.576,29.648,29.901,32.088,0.2523,0.1952,255
889.877,29.74,30.039,32.348,0.2986,0.2414,255
890.178,29.809,29.901,32.112,0.0919,0.0347,255
890.479,29.671,30.062,32.325,0.3904,0.3332,255
890.78,29.671,30.039,32.325,0.3674,0.3102,255
891.081,29.763,29.901,32.325,0.1377,0.0805,255
891.382,29.671,30.039,32.277,0.3674,0.3102,255
891.684,29.763,30.108,32.396,0.3447,0.2875,255
891.985,29.763,30.016,32.135,0.2527,0.1955,255
892.286,29.694,29.947,32.325,0.2525,0.1953,255
892.588,29.671,30.131,32.348,0.4594,0.4023,255
892.889,29.648,29.947,32.325,0.2983,0.2411,255
893.19,29.671,30.062,32.088,0.3904,0.3332,255
893.491,29.763,30.039,32.419,0.2757,0.2185,255
