time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
642.697,29.078,29.671,31.665,0.5939,0.5367,255
642.998,29.169,29.717,31.759,0.5486,0.4914,255
643.3,29.351,29.717,31.712,0.3661,0.3089,255
643.601,29.123,29.534,31.665,0.4109,0.3538,255
643.902,29.146,29.671,31.665,0.5255,0.4684,255
644.203,29.305,29.671,31.665,0.3659,0.3087,255
644.504,29.397,29.58,31.735,0.183,0.1258,255
644.805,29.032,29.58,31.571,0.5478,0.4906,255
645.106,29.1,29.603,31.641,0.5024,0.4452,255
645.407,29.328,29.58,31.806,0.2515,0.1943,255
645.708,29.305,29.534,31.665,0.2285,0.1713,255
646.009,29.123,29.671,31.618,0.5483,0.4912,255
646.31,29.123,29.671,31.571,0.5483,0.4912,255
646.611,29.169,29.74,31.759,0.5715,0.5143,255
646.912,29.169,29.58,31.712,0.4111,0.354,255
647.213,29.055,29.58,31.618,0.525,0.4678,255
647.514,29.169,29.58,31.571,0.4111,0.354,255
647.815,29.078,29.534,31.431,0.4565,0.3993,255
648.116,29.305,29.671,31.665,0.3659,0.3087,255
648.417,29.123,29.671,31.688,0.5483,0.4912,255
648.718,29.351,29.763,31.618,0.412,0.3548,255
649.019,29.305,29.671,31.641,0.3659,0.3087,255
649.32,29.123,29.58,31.806,0.4567,0.3995,255
649.621,29.351,29.671,31.712,0.3203,0.2631,255
649.922,29.351,29.717,31.712,0.3661,0.3089,255
650.223,29.078,29.58,31.571,0.5023,0.4451,255
650.524,29.055,29.671,31.618,0.6166,0.5595,255
650.825,29.328,29.671,31.712,0.3431,0.2859,255
651.126,29.305,29.58,31.759,0.2743,0.2171,255
651.427,29.078,29.603,31.571,0.5251,0.468,255
651.728,29.123,29.58,31.665,0.4567,0.3995,255
652.029,29.169,29.694,31.571,0.5257,0.4685,255
652.33,29.351,29.694,31.735,0.3432,0.286,255
652.631,29.078,29.671,31.641,0.5939,0.5367,255
652.932,29.169,29.58,31.665,0.4111,0.354,255
653.233,29.146,29.58,31.759,0.4339,0.3767,255
653.534,29.374,29.694,31.594,0.3203,0.2632,255
653.835,29.123,29.58,31.618,0.4567,0.3995,255
654.136,29.123,29.694,31.618,0.5713,0.5141,255
654.437,29.123,29.671,31.618,0.5483,0.4912,255
654.738,29.146,29.557,31.665,0.411,0.3539,255
655.039,29.351,29.648,31.641,0.2973,0.2402,255
655.34,29.123,29.717,31.712,0.5942,0.537,255
655.641,29.169,29.717,31.641,0.5486,0.4914,255
655.942,29.123,29.671,31.618,0.5483,0.4912,255
656.243,29.305,29.694,31.712,0.3888,0.3316,255
656.544,29.123,29.717,31.712,0.5942,0.537,255
656.845,29.078,29.671,31.712,0.5939,0.5367,255
657.146,29.123,29.58,31.712,0.4567,0.3995,255
657.447,29.305,29.717,31.712,0.4117,0.3546,255
657.748,29.305,29.671,31.712,0.3659,0.3087,255
658.049,29.1,29.534,31.571,0.4337,0.3765,255
658.35,29.123,29.557,31.618,0.4338,0.3767,255
658.651,29.123,29.717,31.712,0.5942,0.537,255
658.952,29.305,29.58,31.759,0.2743,0.2171,255
659.253,29.078,29.717,31.712,0.6397,0.5825,255
659.554,29.1,29.58,31.665,0.4795,0.4223,255
659.855,29.397,29.488,31.571,0.0914,0.0343,255
660.156,29.305,29.58,31.712,0.2743,0.2171,255
660.457,29.078,29.694,31.618,0.6168,0.5596,255
660.759,29.123,29.534,31.641,0.4109,0.3538,255
661.061,29.351,29.717,31.759,0.3661,0.3089,255
661.363,29.351,29.58,31.735,0.2286,0.1715,255
661.664,29.123,29.717,31.759,0.5942,0.537,255
661.966,29.146,29.671,31.665,0.5255,0.4684,255
662.267,29.305,29.58,31.782,0.2743,0.2171,255
662.568,29.305,29.534,31.594,0.2285,0.1713,255
662.869,29.123,29.717,31.759,0.5942,0.537,255
663.17,29.305,29.717,31.759,0.4117,0.3546,255
663.471,29.305,29.534,31.571,0.2285,0.1713,255
663.772,29.191,29.694,31.759,0.5029,0.4457,255
664.073,29.123,29.671,31.712,0.5483,0.4912,255
664.374,29.123,29.717,31.759,0.5942,0.537,255
