time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
75.767,27.183,27.407,29.351,0.2238,0.1666,255
76.068,27.362,27.362,29.488,0.0,-0.0572,255
76.369,27.228,27.362,29.397,0.1343,0.0771,255
76.67,27.228,27.317,29.397,0.0895,0.0323,255
76.971,27.228,27.272,29.397,0.0447,-0.0124,255
77.272,27.205,27.429,29.397,0.2238,0.1667,255
77.573,27.317,27.407,29.488,0.0896,0.0324,255
77.874,27.183,27.339,29.397,0.1566,0.0994,255
78.175,27.138,27.317,29.328,0.1789,0.1217,255
78.476,27.295,27.451,29.488,0.1567,0.0996,255
78.777,27.317,27.362,29.557,0.0448,-0.0124,255
79.078,27.205,27.272,29.397,0.0671,0.0099,255
79.379,27.228,27.317,29.397,0.0895,0.0323,255
79.68,27.339,27.519,29.442,0.1793,0.1221,255
79.981,27.362,27.407,29.397,0.0448,-0.0124,255
80.282,27.272,27.362,29.351,0.0895,0.0324,255
80.583,27.272,27.362,29.465,0.0895,0.0324,255
80.884,27.317,27.496,29.511,0.1792,0.122,255
81.185,27.317,27.362,29.534,0.0448,-0.0124,255
81.486,27.228,27.339,29.397,0.1119,0.0547,255
81.787,27.272,27.339,29.488,0.0671,0.01,255
82.088,27.295,27.451,29.488,0.1567,0.0996,255
82.39,27.339,27.496,29.397,0.1568,0.0997,255
82.691,27.295,27.407,29.511,0.1119,0.0548,255
82.992,27.317,27.407,29.374,0.0896,0.0324,255
83.293,27.362,27.496,29.442,0.1344,0.0773,255
83.594,27.384,27.429,29.397,0.0448,-0.0124,255
83.895,27.317,27.429,29.397,0.112,0.0548,255
84.196,27.317,27.519,29.442,0.2016,0.1444,255
84.497,27.317,27.317,29.442,0.0,-0.0572,255
84.798,27.339,27.496,29.397,0.1568,0.0997,255
85.099,27.317,27.429,29.534,0.112,0.0548,255
85.4,27.317,27.519,29.534,0.2016,0.1444,255
85.702,27.362,27.496,29.488,0.1344,0.0773,255
86.003,27.339,27.541,29.442,0.2017,0.1445,255
86.304,27.295,27.362,29.488,0.0671,0.01,255
86.605,27.272,27.384,29.58,0.1119,0.0548,255
86.906,27.362,27.586,29.58,0.2242,0.167,255
87.207,27.384,27.541,29.442,0.1569,0.0997,255
87.508,27.317,27.586,29.534,0.2689,0.2117,255
87.809,27.362,27.407,29.442,0.0448,-0.0124,255
88.11,27.362,27.586,29.534,0.2242,0.167,255
88.411,27.362,27.451,29.648,0.0896,0.0324,255
88.712,27.317,27.451,29.671,0.1344,0.0772,255
89.013,27.205,27.451,29.671,0.2462,0.1891,255
89.314,27.541,27.991,29.671,0.4495,0.3923,255
89.615,27.541,27.541,29.58,0.0,-0.0572,255
89.916,27.317,27.541,29.534,0.2241,0.1669,255
90.217,27.339,27.541,29.488,0.2017,0.1445,255
90.518,27.541,27.586,29.694,0.0449,-0.0123,255
90.819,27.541,27.631,29.74,0.0898,0.0326,255
91.12,27.362,27.407,29.488,0.0448,-0.0124,255
91.421,27.295,27.384,29.534,0.0895,0.0324,255
91.722,27.339,27.541,29.717,0.2017,0.1445,255
92.023,27.451,27.429,29.557,-0.0224,-0.0796,255
92.324,27.362,27.496,29.557,0.1344,0.0773,255
92.625,27.295,27.586,29.626,0.2913,0.2341,255
92.926,27.407,27.496,29.694,0.0896,0.0325,255
93.227,27.407,27.496,29.648,0.0896,0.0325,255
93.528,27.407,27.564,29.671,0.1569,0.0997,255
93.829,27.541,27.608,29.58,0.0673,0.0101,255
94.13,27.384,27.519,29.717,0.1345,0.0773,255
94.431,27.317,27.676,29.694,0.3587,0.3016,255
94.732,27.541,27.631,29.717,0.0898,0.0326,255
95.033,27.541,27.586,29.717,0.0449,-0.0123,255
95.334,27.339,27.496,29.763,0.1568,0.0997,255
95.635,27.384,27.451,29.58,0.0672,0.01,255
95.936,27.564,27.586,29.694,0.0224,-0.0347,255
96.237,27.451,27.541,29.717,0.0897,0.0325,255
96.538,27.384,27.541,29.671,0.1569,0.0997,255
96.839,27.407,27.676,29.671,0.2692,0.212,255
97.14,27.519,27.541,29.763,0.0224,-0.0347,255
97.442,27.519,27.451,29.717,-0.0673,-0.1244,255
97.743,27.496,27.429,29.58,-0.0672,-0.1244,255
98.045,27.541,27.586,29.74,0.0449,-0.0123,255
98.347,27.362,27.496,29.763,0.1344,0.0773,255
98.648,27.362,27.541,29.809,0.1793,0.1221,255
98.949,27.564,27.653,29.832,0.0898,0.0326,255
99.25,27.586,27.631,29.878,0.0449,-0.0123,255
99.551,27.407,27.541,29.763,0.1345,0.0773,255
99.852,27.407,27.608,29.694,0.2018,0.1446,255
100.153,27.586,27.586,29.717,0.0,-0.0572,255
100.454,27.541,27.608,29.832,0.0673,0.0101,255
100.755,27.407,27.631,29.717,0.2242,0.1671,255
101.056,27.429,27.631,29.717,0.2018,0.1447,255
101.357,27.586,27.586,29.694,0.0,-0.0572,255
101.658,27.496,27.653,29.855,0.1571,0.0999,255
101.959,27.586,27.653,29.855,0.0674,0.0102,255
102.26,27.586,27.676,29.809,0.0898,0.0326,255
102.561,27.519,27.541,29.717,0.0224,-0.0347,255
102.862,27.407,27.541,29.717,0.1345,0.0773,255
103.163,27.586,27.586,29.809,0.0,-0.0572,255
103.464,27.564,27.653,29.855,0.0898,0.0326,255
103.765,27.496,27.608,29.763,0.1122,0.055,255
