time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
252.501,28.805,28.964,31.29,0.1591,0.1019,255
252.802,28.85,28.805,31.244,-0.0454,-0.1026,255
253.103,28.805,28.941,31.314,0.1363,0.0791,255
253.404,28.805,28.805,31.244,0.0,-0.0572,255
253.705,28.827,29.032,31.384,0.2046,0.1474,255
254.006,28.85,28.918,31.197,0.0681,0.011,255
254.307,28.805,28.827,31.244,0.0227,-0.0345,255
254.608,28.85,28.986,31.267,0.1364,0.0792,255
254.909,28.827,29.032,31.337,0.2046,0.1474,255
255.21,28.827,28.873,31.36,0.0454,-0.0117,255
255.511,28.85,28.964,31.29,0.1136,0.0565,255
255.812,28.941,29.032,31.337,0.091,0.0338,255
256.113,28.986,29.032,31.384,0.0455,-0.0117,255
256.414,28.827,28.941,31.384,0.1136,0.0564,255
256.715,28.85,28.964,31.29,0.1136,0.0565,255
257.016,28.941,29.055,31.337,0.1138,0.0566,255
257.317,28.941,29.055,31.244,0.1138,0.0566,255
257.618,28.85,29.055,31.314,0.2047,0.1475,255
257.919,28.827,29.032,31.431,0.2046,0.1474,255
258.22,28.805,28.941,31.314,0.1363,0.0791,255
258.521,28.85,28.986,31.337,0.1364,0.0792,255
258.822,28.941,29.009,31.384,0.0682,0.0111,255
259.123,28.85,28.986,31.29,0.1364,0.0792,255
259.424,28.85,29.032,31.337,0.1819,0.1247,255
259.726,28.85,28.986,31.29,0.1364,0.0792,255
260.027,28.941,29.078,31.36,0.1365,0.0794,255
260.328,28.805,28.873,31.29,0.0681,0.011,255
260.629,28.941,28.986,31.36,0.0455,-0.0117,255
260.93,28.827,28.986,31.337,0.1591,0.1019,255
261.231,28.827,28.986,31.337,0.1591,0.1019,255
261.532,28.85,29.009,31.337,0.1591,0.1019,255
261.833,28.805,28.941,31.197,0.1363,0.0791,255
262.134,28.941,29.032,31.431,0.091,0.0338,255
262.435,28.85,29.1,31.431,0.2502,0.193,255
262.736,28.941,28.964,31.29,0.0228,-0.0344,255
263.037,28.941,28.986,31.384,0.0455,-0.0117,255
263.339,28.805,28.986,31.314,0.1818,0.1246,255
263.64,28.85,28.986,31.337,0.1364,0.0792,255
263.941,28.941,28.986,31.337,0.0455,-0.0117,255
264.242,28.805,28.941,31.29,0.1363,0.0791,255
264.543,28.85,29.009,31.337,0.1591,0.1019,255
264.844,28.759,28.941,31.197,0.1817,0.1245,255
265.145,28.941,29.032,31.337,0.091,0.0338,255
265.446,28.805,28.986,31.22,0.1818,0.1246,255
265.747,28.896,28.85,31.407,-0.0454,-0.1026,255
266.049,28.805,28.986,31.244,0.1818,0.1246,255
266.35,28.85,29.123,31.384,0.2729,0.2158,255
266.651,28.805,29.146,31.267,0.3412,0.284,255
266.952,28.918,28.964,31.29,0.0455,-0.0117,255
267.253,28.782,29.032,31.314,0.25,0.1928,255
267.554,28.805,28.986,31.244,0.1818,0.1246,255
267.855,28.805,29.032,31.337,0.2273,0.1701,255
268.156,28.827,28.941,31.384,0.1136,0.0564,255
268.457,28.805,29.123,31.384,0.3184,0.2612,255
268.758,28.805,29.078,31.431,0.2729,0.2157,255
269.059,28.782,28.85,31.594,0.0681,0.0109,255
269.36,28.782,28.896,31.29,0.1136,0.0564,255
269.661,28.805,29.032,31.454,0.2273,0.1701,255
