timestamp,millis,T_ref_C,T_heater_C,T_target_C,error_C,pwm_percent,p_term,i_term,d_term,auto_mode
2026-05-14T14:39:14.471344,1089149.0,26.8201,32.8101,32.8278,0.0186,49.048,0.3722,48.6755,0.0,1
2026-05-14T14:39:14.971838,1089651.0,26.8345,32.8234,32.8395,0.0172,49.027,0.3437,48.6837,0.0,1
2026-05-14T14:39:15.471966,1090153.0,26.8276,32.8179,32.8294,0.0089,48.869,0.1771,48.6915,0.0,1
2026-05-14T14:39:15.971172,1090655.0,26.8281,32.811,32.8383,0.023,49.161,0.4598,48.7015,0.0,1
2026-05-14T14:39:16.471424,1091157.0,26.8363,32.8161,32.8316,0.0176,49.063,0.3516,48.7115,0.0,1
2026-05-14T14:39:16.971314,1091659.0,26.8151,32.8093,32.8316,0.0209,49.135,0.4185,48.7168,0.0,1
2026-05-14T14:39:17.471182,1092161.0,26.8379,32.8217,32.8355,0.0157,49.041,0.3148,48.7266,0.0,1
2026-05-14T14:39:17.971631,1092663.0,26.8291,32.8236,32.8243,0.0028,48.788,0.0565,48.7319,0.0,1
2026-05-14T14:39:18.471625,1093165.0,26.8367,32.8161,32.8367,0.0206,49.149,0.4111,48.7382,0.0,1
2026-05-14T14:39:18.971179,1093667.0,26.8423,32.8098,32.8487,0.0242,49.229,0.4837,48.7453,0.0,1
2026-05-14T14:39:19.471510,1094169.0,26.8657,32.8448,32.843,0.0143,49.038,0.2852,48.753,0.0,1
2026-05-14T14:39:19.971248,1094671.0,26.8309,32.8223,32.8319,0.0033,48.826,0.0668,48.7592,0.0,1
2026-05-14T14:39:20.472574,1095173.0,26.8459,32.8271,32.8448,0.0046,48.852,0.0928,48.7593,0.0,1
2026-05-14T14:39:20.971498,1095675.0,26.8399,32.8274,32.8451,0.0182,49.13,0.363,48.7675,0.0,1
2026-05-14T14:39:21.472415,1096177.0,26.8368,32.8294,32.8429,0.0,48.77,0.0003,48.7692,0.0,1
2026-05-14T14:39:21.971559,1096679.0,26.8362,32.8196,32.8369,0.0203,49.186,0.4068,48.7789,0.0,1
2026-05-14T14:39:22.471250,1097181.0,26.8463,32.8236,32.8522,0.0136,49.056,0.2713,48.7851,0.0,1
2026-05-14T14:39:22.971126,1097683.0,26.842,32.8285,32.8499,0.015,49.097,0.3007,48.7966,0.0,1
2026-05-14T14:39:23.471888,1098185.0,26.8402,32.8283,32.8313,-0.0057,48.683,-0.1133,48.7965,0.0,1
2026-05-14T14:39:23.971454,1098687.0,26.8511,32.8384,32.8538,0.0137,49.082,0.2747,48.8074,0.0,1
2026-05-14T14:39:24.471581,1099189.0,26.8478,32.828,32.8423,0.0216,49.245,0.4313,48.8133,0.0,1
2026-05-14T14:39:24.971976,1099691.0,26.8439,32.8296,32.8436,0.0131,49.085,0.2616,48.8235,0.0,1
2026-05-14T14:39:25.471491,1100193.0,26.8429,32.8349,32.8468,0.0188,49.205,0.3767,48.8282,0.0,1
2026-05-14T14:39:26.021136,1100695.0,26.846,32.8443,32.8326,-0.0065,48.698,-0.1298,48.828,0.0,1
2026-05-14T14:39:26.521464,1101197.0,26.833,32.8121,32.8353,0.0093,49.018,0.185,48.8333,0.0,1
2026-05-14T14:39:27.021614,1101699.0,26.8163,32.817,32.8379,0.0206,49.253,0.4125,48.8406,0.0,1
2026-05-14T14:39:27.522203,1102201.0,26.8313,32.8161,32.8263,0.0101,49.048,0.2013,48.8464,0.0,1
2026-05-14T14:39:28.022041,1102703.0,26.8326,32.8277,32.8287,0.0004,48.855,0.0086,48.8461,0.0,1
2026-05-14T14:39:28.521947,1103205.0,26.8211,32.8206,32.8326,0.0104,49.062,0.2072,48.8545,0.0,1
2026-05-14T14:39:29.021553,1103707.0,26.8164,32.8149,32.8193,0.0122,49.106,0.2448,48.8616,0.0,1
2026-05-14T14:39:29.521349,1104209.0,26.8248,32.8147,32.8232,0.0116,49.096,0.231,48.8655,0.0,1
2026-05-14T14:39:30.021229,1104711.0,26.7973,32.8007,32.8094,-0.0106,48.659,-0.2111,48.8705,0.0,1
