time_s,t_up,t_down,t_heater,delta_t,delta_t_corr,heater_duty
1595.268,31.29,31.431,34.194,0.1403,-0.1768,255
1595.569,31.29,31.431,34.243,0.1403,-0.1768,255
1595.87,31.29,31.407,34.218,0.1169,-0.2002,255
1596.171,31.08,31.337,34.17,0.2566,-0.0605,255
1596.472,31.244,31.407,34.243,0.1635,-0.1536,255
1596.773,31.29,31.431,34.194,0.1403,-0.1768,255
1597.074,31.29,31.431,34.218,0.1403,-0.1768,255
1597.375,31.244,31.384,34.194,0.1401,-0.1769,255
1597.676,31.197,31.337,34.073,0.1401,-0.177,255
1597.977,31.197,31.384,34.097,0.1868,-0.1302,255
1598.278,31.384,31.431,34.073,0.0468,-0.2703,255
1598.579,31.29,31.524,34.34,0.2339,-0.0832,255
1598.88,31.197,31.36,34.194,0.1635,-0.1536,255
1599.181,31.197,31.384,34.291,0.1868,-0.1302,255
1599.482,31.197,31.384,34.097,0.1868,-0.1302,255
1599.783,31.29,31.477,34.048,0.187,-0.13,255
1600.084,31.29,31.431,34.194,0.1403,-0.1768,255
1600.385,31.29,31.384,34.097,0.0935,-0.2236,255
1600.686,31.22,31.407,34.121,0.1869,-0.1302,255
1600.987,31.244,31.571,34.34,0.3274,0.0103,255
1601.288,31.337,31.431,34.291,0.0935,-0.2235,255
1601.589,31.29,31.431,34.194,0.1403,-0.1768,255
1601.89,31.22,31.431,34.243,0.2103,-0.1068,255
1602.191,31.197,31.384,34.243,0.1868,-0.1302,255
1602.492,31.22,31.431,34.024,0.2103,-0.1068,255
1602.794,31.267,31.431,34.097,0.1636,-0.1535,255
1603.096,31.29,31.454,34.34,0.1636,-0.1534,255
1603.397,31.244,31.384,34.291,0.1401,-0.1769,255
1603.698,31.15,31.384,34.291,0.2335,-0.0836,255
1604.0,31.197,31.431,34.145,0.2336,-0.0835,255
1604.301,31.29,31.431,34.048,0.1403,-0.1768,255
1604.602,31.29,31.431,34.218,0.1403,-0.1768,255
1604.903,31.29,31.431,34.291,0.1403,-0.1768,255
1605.205,31.15,31.407,34.243,0.2568,-0.0602,255
1605.506,31.244,31.524,34.291,0.2805,-0.0365,255
1605.808,31.29,31.454,34.097,0.1636,-0.1534,255
1606.109,31.29,31.477,34.194,0.187,-0.13,255
1606.411,31.244,31.384,34.243,0.1401,-0.1769,255
1606.712,31.197,31.384,34.243,0.1868,-0.1302,255
1607.013,31.197,31.407,34.048,0.2102,-0.1069,255
1607.314,31.244,31.477,34.17,0.2337,-0.0834,255
1607.615,31.29,31.431,34.243,0.1403,-0.1768,255
1607.916,31.267,31.407,34.194,0.1402,-0.1769,255
1608.217,31.197,31.407,34.194,0.2102,-0.1069,255
1608.519,31.197,31.337,34.097,0.1401,-0.177,255
1608.82,31.197,31.431,34.097,0.2336,-0.0835,255
1609.122,31.29,31.571,34.291,0.2807,-0.0363,255
1609.423,31.337,31.571,34.243,0.234,-0.0831,255
1609.724,31.244,31.431,34.267,0.1869,-0.1301,255
1610.025,31.197,31.431,34.194,0.2336,-0.0835,255
1610.326,31.244,31.501,34.291,0.2571,-0.06,255
1610.627,31.337,31.431,34.243,0.0935,-0.2235,255
1610.928,31.337,31.454,34.194,0.1169,-0.2002,255
1611.229,31.29,31.477,34.194,0.187,-0.13,255
1611.53,31.197,31.36,34.291,0.1635,-0.1536,255
1611.831,31.197,31.384,34.194,0.1868,-0.1302,255
1612.133,31.267,31.454,34.097,0.187,-0.1301,255
1612.434,31.337,31.524,34.34,0.1872,-0.1299,255
1612.735,31.314,31.337,34.097,0.0233,-0.2937,255
1613.036,31.244,31.407,34.097,0.1635,-0.1536,255
1613.338,31.197,31.384,34.194,0.1868,-0.1302,255
1613.639,31.244,31.571,34.097,0.3274,0.0103,255
1613.94,31.314,31.454,34.218,0.1403,-0.1768,255
1614.241,31.29,31.524,34.291,0.2339,-0.0832,255
1614.542,31.197,31.314,34.097,0.1167,-0.2003,255
1614.844,31.197,31.407,34.0,0.2102,-0.1069,255
1615.145,31.244,31.524,34.291,0.2805,-0.0365,255
1615.446,31.29,31.431,34.097,0.1403,-0.1768,255
1615.747,31.384,31.618,34.267,0.2341,-0.0829,255
1616.049,31.314,31.594,34.267,0.2808,-0.0363,255
1616.35,31.244,31.431,34.048,0.1869,-0.1301,255
1616.651,31.197,31.337,34.024,0.1401,-0.177,255
1616.953,31.337,31.524,34.291,0.1872,-0.1299,255
1617.254,31.29,31.524,34.097,0.2339,-0.0832,255
1617.555,31.29,31.407,34.291,0.1169,-0.2002,255
1617.857,31.197,31.407,34.194,0.2102,-0.1069,255
1618.158,31.197,31.431,34.218,0.2336,-0.0835,255
1618.459,31.197,31.407,34.097,0.2102,-0.1069,255
1618.76,31.29,31.431,34.097,0.1403,-0.1768,255
1619.061,31.267,31.524,34.243,0.2572,-0.0598,255
1619.362,31.29,31.431,34.243,0.1403,-0.1768,255
1619.663,31.22,31.431,34.243,0.2103,-0.1068,255
1619.964,31.244,31.548,34.243,0.304,-0.0131,255
1620.265,31.314,31.571,34.291,0.2574,-0.0597,255
1620.566,31.314,31.524,34.291,0.2105,-0.1066,255
1620.867,31.267,31.524,34.194,0.2572,-0.0598,255
1621.168,31.29,31.477,34.194,0.187,-0.13,255
1621.469,31.267,31.337,34.194,0.0701,-0.247,255
1621.77,31.29,31.524,34.243,0.2339,-0.0832,255
1622.071,31.314,31.431,34.316,0.1169,-0.2002,255
1622.372,31.22,31.431,34.267,0.2103,-0.1068,255
1622.673,31.197,31.431,34.194,0.2336,-0.0835,255
1622.974,31.337,31.548,34.243,0.2106,-0.1065,255
1623.275,31.29,31.548,34.097,0.2573,-0.0598,255
1623.576,31.384,31.524,34.291,0.1404,-0.1767,255
1623.877,31.244,31.337,34.048,0.0934,-0.2237,255
1624.178,31.197,31.384,34.267,0.1868,-0.1302,255
1624.479,31.197,31.431,34.194,0.2336,-0.0835,255
1624.78,31.29,31.618,34.218,0.3276,0.0105,255
1625.081,31.314,31.431,34.243,0.1169,-0.2002,255
1625.382,31.267,31.431,34.243,0.1636,-0.1535,255
1625.683,31.197,31.384,34.291,0.1868,-0.1302,255
1625.984,31.244,31.571,34.194,0.3274,0.0103,255
1626.285,31.314,31.618,34.291,0.3042,-0.0128,255
1626.586,31.36,31.431,34.024,0.0702,-0.2469,255
1626.888,31.314,31.431,34.243,0.1169,-0.2002,255
1627.189,31.15,31.431,34.291,0.2802,-0.0368,255
1627.49,31.197,31.407,34.097,0.2102,-0.1069,255
1627.791,31.337,31.524,34.243,0.1872,-0.1299,255
1628.093,31.384,31.548,34.048,0.1638,-0.1532,255
1628.394,31.29,31.431,34.316,0.1403,-0.1768,255
1628.696,31.29,31.407,34.194,0.1169,-0.2002,255
1628.997,31.197,31.431,34.218,0.2336,-0.0835,255
1629.298,31.29,31.431,34.097,0.1403,-0.1768,255
1629.599,31.36,31.431,34.194,0.0702,-0.2469,255
1629.901,31.337,31.384,34.243,0.0468,-0.2703,255
1630.202,31.244,31.431,34.243,0.1869,-0.1301,255
1630.503,31.22,31.384,34.291,0.1635,-0.1536,255
1630.805,31.29,31.431,34.243,0.1403,-0.1768,255
1631.106,31.337,31.454,34.291,0.1169,-0.2002,255
1631.408,31.29,31.477,34.097,0.187,-0.13,255
1631.709,31.29,31.454,34.218,0.1636,-0.1534,255
1632.01,31.244,31.571,34.291,0.3274,0.0103,255
1632.311,31.244,31.571,34.243,0.3274,0.0103,255
1632.612,31.267,31.477,34.194,0.2104,-0.1067,255
1632.913,31.337,31.407,34.097,0.0701,-0.2469,255
1633.214,31.29,31.431,34.243,0.1403,-0.1768,255
1633.516,31.174,31.384,34.291,0.2101,-0.1069,255
1633.817,31.29,31.384,34.194,0.0935,-0.2236,255
1634.118,31.314,31.524,34.291,0.2105,-0.1066,255
1634.42,31.337,31.431,34.291,0.0935,-0.2235,255
1634.721,31.244,31.384,34.243,0.1401,-0.1769,255
1635.022,31.197,31.454,34.218,0.257,-0.0601,255
1635.323,31.267,31.384,34.243,0.1168,-0.2002,255
1635.624,31.36,31.431,34.194,0.0702,-0.2469,255
1635.925,31.337,31.477,34.267,0.1403,-0.1767,255
1636.226,31.337,31.431,34.316,0.0935,-0.2235,255
1636.527,31.197,31.384,34.34,0.1868,-0.1302,255
1636.828,31.29,31.571,34.243,0.2807,-0.0363,255
1637.13,31.337,31.524,34.291,0.1872,-0.1299,255
1637.431,31.267,31.407,34.243,0.1402,-0.1769,255
1637.732,31.244,31.431,34.243,0.1869,-0.1301,255
1638.033,31.244,31.407,34.194,0.1635,-0.1536,255
1638.334,31.29,31.454,34.218,0.1636,-0.1534,255
1638.635,31.29,31.524,34.243,0.2339,-0.0832,255
1638.936,31.337,31.477,34.243,0.1403,-0.1767,255
1639.237,31.244,31.36,34.243,0.1168,-0.2003,255
1639.539,31.29,31.407,34.243,0.1169,-0.2002,255
1639.84,31.22,31.431,34.243,0.2103,-0.1068,255
1640.141,31.29,31.454,34.291,0.1636,-0.1534,255
1640.442,31.29,31.618,34.34,0.3276,0.0105,255
1640.743,31.337,31.407,34.243,0.0701,-0.2469,255
1641.044,31.197,31.36,34.121,0.1635,-0.1536,255
1641.345,31.244,31.524,34.194,0.2805,-0.0365,255
1641.646,31.314,31.477,34.194,0.1637,-0.1534,255
1641.947,31.29,31.548,34.243,0.2573,-0.0598,255
1642.248,31.244,31.454,34.097,0.2103,-0.1068,255
1642.548,31.267,31.431,34.291,0.1636,-0.1535,255
1642.85,31.244,31.571,34.291,0.3274,0.0103,255
1643.151,31.314,31.477,34.097,0.1637,-0.1534,255
1643.452,31.29,31.431,34.243,0.1403,-0.1768,255
1643.753,31.29,31.431,34.194,0.1403,-0.1768,255
1644.055,31.244,31.524,34.267,0.2805,-0.0365,255
1644.356,31.244,31.571,34.291,0.3274,0.0103,255
1644.657,31.384,31.524,34.194,0.1404,-0.1767,255
1644.959,31.314,31.477,34.316,0.1637,-0.1534,255
